title_0,title_1,link
BlockFi Files Bankruptcy, Dandelion Energy Raises $70 Million,http://eepurl.com/ieZ8fj
Maven Clinic Raises $90 Million, Gemini Blocks Some Withdrawals,http://eepurl.com/iepdKX
Amagi Raises $100 Million, BlockFi Preps for Bankruptcy,http://eepurl.com/idU6zn
BlockFi Suspends Withdrawals, Laika Raises $50 Million,http://eepurl.com/idHAHf
Ex-MoviePass Execs Indicted, Apiiro Raises $100 Million,http://eepurl.com/idp5Vz
Cover Genius Raises $70 Million, Adore Me Acquired,http://eepurl.com/ic_k31
OpenWeb Raises $170 Million, Personal Helicopters May Come to Manhattan,http://eepurl.com/icU7s9
RapidSOS Raises $75 Million, NYC Salary Disclosure Law,http://eepurl.com/icJbkP
Bilt Rewards Raises $150 Million, Landis Raises $40 Million,http://eepurl.com/ichGw1
NorthOne Raises $67 Million, Ticket Evolution Acquired,http://eepurl.com/ib2Wz5
GoHenry Raises $55 Million, IronVest Raises $23 Million,http://eepurl.com/ibLa4f
Grow Therapy Raises $75 Million, The Muse Acquires Fairygod Boss,http://eepurl.com/ibuCF9
Sitetracker Raises $96 Million, Knoetic Raises $36 Million,http://eepurl.com/ia8p61
Deep Instinct Raises $62 Million, GlossGenius Raises $25 Million,http://eepurl.com/iawoTH
Opto Investments Raises $145 Million, PolyWork Raises $28 Million,http://eepurl.com/h_-YO9
Gotham Greens Raises $310 Million b+ More NYC Tech Industry News,N/A,http://eepurl.com/h_NWzv
Redesign Health Raises $65 Million, Shine Acquired,http://eepurl.com/h_C-F1
SeatGeek Raises $238 Million, Peloton Founder Steps Down,http://eepurl.com/h_qaJn
VTS Raises $125 Million, The Wing Shuts Down,http://eepurl.com/h-WPZT
Alma Raises $130 Million,N/A,http://eepurl.com/h-x1hn
